Kabupaten/Kota,Laju Pertumbuhan Produk Domestik Bruto/Produk Domestik Regional Bruto,IPM,Upah Minimum,Pendapatan Daerah,Nilai Produksi,Jumlah Angkatan Kerja,TPAK
Pacitan,2.49,68.57,1961154.77,1695124683,285408200,3364,80.57
Ponorogo,3.19,71.06,1938321.73,2327251510061,1025051305,1852,72.63
Trenggalek,3.65,70.06,1938321.73,1831177618127,466467047,1495,72.36
Tulungagung,3.53,73.15,2010000,3095975320366,2597979291,10629,72.26
Blitar,03.02,71.05,2004705.75,2467651406772,515728728,402,70.44
Kediri,03.06,72.56,2033504.99,2923110843869,6758972750,16808,69.34
Malang,3.12,70.60,3068275.36,4089399567,39455002352,533,68.49
Lumajang,3.14,66.07,1982295.1,2161880436241,1901202811,14267,66.19
Jember,4.00,67.32,2355662.91,3560559091,3516682518,38204,68.97
Banyuwangi,04.08,71.38,2314278.87,3181210232,6766973042,20315,72.32
Bondowoso,3.49,66.59,1954705.75,2054350629,1508440131,10794,73.89
Situbondo,3.26,67.78,1938321.73,1752515838351,1263500813,4732,71.63
Probolinggo,3.35,66.26,2553265.95,2399817125466,1179480332,12302,73.24
Pasuruan,4.34,68.93,4290133.19,3364856321,35817538142,116996,69.03
Sidoarjo,4.21,80.65,4293581.85,4669635698,87692665822,161635,66.47
Mojokerto,4.12,74.15,4279787.17,2606948558,45458582326,55454,70.47
Jombang,3.24,73.45,2654095.88,2883526519,10378618869,28102,70.69
Nganjuk,3.61,71.97,1954705.75,2608437761,3241940025,16454,64.24
Madiun,3.34,71.88,1951588.16,1978493285,1541603331,2636,67.77
Magetan,03.04,74.15,1938321.73,1896117538031,16656987,554,73.31
Ngawi,2.55,71.04,1960510,2226087473,1097409896,576,72.88
Bojonegoro,-5.54,69.59,2066781.8,5904101073580,2184026773,10227,71.84
Tuban,3.00,68.91,2532234.77,2693892209852,2334732956,8608,73.77
Lamongan,3.43,73.12,2488724.77,2975019936520,5240532801,21481,70.72
Gresik,3.79,76.50,4297030.51,3133574,115401999248,111489,69.43
Bangkalan,-2.07,64.36,1954705.75,2275095392,433022248,526,68.66
Sampang,0.22,62.80,1938321.73,1830357482,31572562,820,70.19
Pamekasan,3.41,66.40,1938321.73,1880239293,311080508,1036,65.88
Sumenep,2.61,67.04,1954705.75,2407606541,187660715,4526,75.63
Kota Kediri,2.50,78.60,2085924.76,1508822569049,86236856563,26644,67.35
Kota Blitar,4.28,78.98,2004705.75,1041505261947,83198280,1982,69.96
Kota Malang,4.21,82.04,2970502.73,2131682115609,770467940,27945,67.59
Kota Probolinggo,04.06,73.66,2350000,993879239,5269634323,1585,69.71
Kota Pasuruan,3.64,75.62,2819801.59,839305466624,1049464474,5408,71.66
Kota Mojokerto,3.65,78.43,2481302.97,963876749,1306627172,4352,67.09
Kota Madiun,4.73,81.25,1954705.75,1100682829130,2916560720,3746,66.87
Kota Surabaya,4.29,82.31,4300479.19,8326878046226,31974527932,99038,67.3
Kota Batu,04.04,76.28,2819801.59,969962352,202754518,122,73.74